departure date,arrival date,train type,price,train class,fare
2019-04-25 05:50:00,2019-04-25 08:20:00,AVE,49.55,Turista,Promo
2019-04-25 06:05:00,2019-04-25 09:15:00,AVE,80.15,Turista Plus,Promo
2019-04-25 06:25:00,2019-04-25 08:55:00,AVE,88.95,Turista,Promo
2019-04-25 06:40:00,2019-04-25 09:25:00,AVE,90.5,Turista Plus,Promo
2019-04-25 07:00:00,2019-04-25 09:30:00,AVE,127.1,Turista,Flexible
2019-04-25 07:05:00,2019-04-25 09:50:00,AVE,75.4,Turista,Promo
2019-04-25 07:25:00,2019-04-25 10:01:00,AVE,80.15,Turista Plus,Promo
2019-04-25 07:40:00,2019-04-25 10:10:00,AVE,88.95,Turista,Promo
2019-04-25 08:00:00,2019-04-25 11:10:00,AVE,85.1,Turista,Promo
2019-04-25 08:25:00,2019-04-25 10:55:00,AVE,68.65,Turista,Promo
2019-04-25 09:00:00,2019-04-25 11:45:00,AVE,107.7,Turista,Flexible
2019-04-25 09:03:00,2019-04-25 18:07:00,R. EXPRES,43.25,Turista,Adulto ida
2019-04-25 10:00:00,2019-04-25 13:10:00,AVE,102.15,Turista Plus,Promo
2019-04-25 11:00:00,2019-04-25 13:45:00,AVE,58.15,Turista,Promo
2019-04-25 12:00:00,2019-04-25 15:10:00,AVE,58.15,Turista,Promo
2019-04-25 12:50:00,2019-04-25 15:45:00,AVE-TGV,102.15,Turista Plus,Promo
2019-04-25 13:25:00,2019-04-25 16:10:00,AVE,66.75,Turista,Promo
2019-04-25 14:00:00,2019-04-25 17:10:00,AVE,107.7,Turista,Flexible
2019-04-25 15:00:00,2019-04-25 17:45:00,AVE,102.15,Turista Plus,Promo
2019-04-25 15:25:00,2019-04-25 17:55:00,AVE,57.95,Turista Plus,Promo
2019-04-25 16:00:00,2019-04-25 19:10:00,AVE,107.7,Turista,Flexible
2019-04-25 16:25:00,2019-04-25 18:55:00,AVE,127.1,Turista,Flexible
2019-04-25 17:00:00,2019-04-25 19:45:00,AVE,66.75,Turista,Promo
2019-04-25 17:25:00,2019-04-25 19:55:00,AVE,68.65,Turista,Promo
2019-04-25 18:00:00,2019-04-25 21:10:00,AVE,107.7,Turista,Flexible
2019-04-25 18:25:00,2019-04-25 20:55:00,AVE,78.8,Turista,Promo
2019-04-25 19:00:00,2019-04-25 22:00:00,AVE,98.0,Preferente,Promo
2019-04-25 19:25:00,2019-04-25 21:55:00,AVE,127.1,Turista,Flexible
2019-04-25 20:00:00,2019-04-25 23:10:00,AVE,98.0,Preferente,Promo
2019-04-25 21:15:00,2019-04-26 00:02:00,AVE,66.75,Turista,Promo
2019-04-28 07:05:00,2019-04-28 09:50:00,AVE,66.75,Turista,Promo
2019-04-28 08:00:00,2019-04-28 11:10:00,AVE,75.4,Turista,Promo
2019-04-28 09:00:00,2019-04-28 11:45:00,AVE,85.1,Turista,Promo
2019-04-28 09:03:00,2019-04-28 18:07:00,R. EXPRES,43.25,Turista,Adulto ida
2019-04-28 10:00:00,2019-04-28 13:10:00,AVE,107.7,Turista,Flexible
2019-04-28 11:00:00,2019-04-28 13:45:00,AVE,107.7,Turista,Flexible
2019-04-28 12:00:00,2019-04-28 15:10:00,AVE,107.7,Turista,Flexible
2019-04-28 12:50:00,2019-04-28 15:45:00,AVE-TGV,107.7,Turista,Flexible
2019-04-28 13:25:00,2019-04-28 16:10:00,AVE,80.15,Turista Plus,Promo
2019-04-28 14:00:00,2019-04-28 17:10:00,AVE,107.7,Turista,Flexible
2019-04-28 15:00:00,2019-04-28 17:45:00,AVE,107.7,Turista,Flexible
2019-04-28 16:00:00,2019-04-28 19:10:00,AVE,107.7,Turista,Flexible
2019-04-28 16:25:00,2019-04-28 18:55:00,AVE,82.35,Turista Plus,Promo
2019-04-28 17:00:00,2019-04-28 19:45:00,AVE,90.5,Turista Plus,Promo
2019-04-28 17:25:00,2019-04-28 19:55:00,AVE,98.55,Preferente,Promo
2019-04-28 18:00:00,2019-04-28 21:10:00,AVE,107.7,Turista,Flexible
2019-04-28 18:25:00,2019-04-28 20:55:00,AVE,78.8,Turista,Promo
2019-04-28 19:00:00,2019-04-28 22:00:00,AVE,102.15,Turista Plus,Promo
2019-04-28 19:25:00,2019-04-28 21:55:00,AVE,78.8,Turista,Promo
2019-04-28 20:00:00,2019-04-28 23:10:00,AVE,98.0,Preferente,Promo
2019-04-28 21:00:00,2019-04-29 00:02:00,AVE,102.15,Turista Plus,Promo
2019-04-28 21:25:00,2019-04-28 23:55:00,AVE,90.5,Turista Plus,Promo
2019-04-27 06:05:00,2019-04-27 09:15:00,AVE,85.1,Turista,Promo
2019-04-27 07:05:00,2019-04-27 09:50:00,AVE,75.4,Turista,Promo
2019-04-27 08:00:00,2019-04-27 11:10:00,AVE,75.4,Turista,Promo
2019-04-27 08:25:00,2019-04-27 10:55:00,AVE,100.4,Turista,Promo
2019-04-27 09:00:00,2019-04-27 11:45:00,AVE,98.0,Preferente,Promo
2019-04-27 09:03:00,2019-04-27 18:07:00,R. EXPRES,43.25,Turista,Adulto ida
2019-04-27 10:00:00,2019-04-27 13:10:00,AVE,85.1,Turista,Promo
2019-04-27 11:00:00,2019-04-27 13:45:00,AVE,58.15,Turista,Promo
2019-04-27 12:00:00,2019-04-27 15:10:00,AVE,85.1,Turista,Promo
2019-04-27 12:50:00,2019-04-27 15:45:00,AVE-TGV,107.7,Turista,Flexible
2019-04-27 14:00:00,2019-04-27 17:10:00,AVE,80.15,Turista Plus,Promo
2019-04-27 15:00:00,2019-04-27 17:45:00,AVE,58.15,Turista,Promo
2019-04-27 16:00:00,2019-04-27 19:10:00,AVE,66.75,Turista,Promo
2019-04-27 17:00:00,2019-04-27 19:45:00,AVE,85.1,Turista,Promo
2019-04-27 18:00:00,2019-04-27 21:10:00,AVE,85.1,Turista,Promo
2019-04-27 19:00:00,2019-04-27 22:00:00,AVE,85.1,Turista,Promo
2019-04-27 20:00:00,2019-04-27 23:10:00,AVE,66.75,Turista,Promo
2019-04-27 21:15:00,2019-04-28 00:02:00,AVE,66.75,Turista,Promo
2019-04-30 05:50:00,2019-04-30 08:20:00,AVE,49.55,Turista,Promo
2019-04-30 06:05:00,2019-04-30 09:15:00,AVE,66.75,Turista,Promo
2019-04-30 06:25:00,2019-04-30 08:55:00,AVE,58.45,Turista,Promo
2019-04-30 06:40:00,2019-04-30 09:25:00,AVE,75.4,Turista,Promo
2019-04-30 07:00:00,2019-04-30 09:30:00,AVE,68.65,Turista,Promo
2019-04-30 07:05:00,2019-04-30 09:50:00,AVE,49.55,Turista,Promo
2019-04-30 07:25:00,2019-04-30 10:01:00,AVE,80.15,Turista Plus,Promo
2019-04-30 07:40:00,2019-04-30 10:10:00,AVE,58.45,Turista,Promo
2019-04-30 08:00:00,2019-04-30 11:10:00,AVE,66.75,Turista,Promo
2019-04-30 08:25:00,2019-04-30 10:55:00,AVE,58.45,Turista,Promo
2019-04-30 09:00:00,2019-04-30 11:45:00,AVE,85.1,Turista,Promo
2019-04-30 09:03:00,2019-04-30 18:07:00,R. EXPRES,43.25,Turista,Adulto ida
2019-04-30 10:00:00,2019-04-30 13:10:00,AVE,58.15,Turista,Promo
2019-04-30 11:00:00,2019-04-30 13:45:00,AVE,58.15,Turista,Promo
2019-04-30 12:00:00,2019-04-30 15:10:00,AVE,85.1,Turista,Promo
2019-04-30 12:50:00,2019-04-30 15:45:00,AVE-TGV,85.1,Turista,Promo
2019-04-30 13:25:00,2019-04-30 16:10:00,AVE,107.7,Turista,Flexible
2019-04-30 14:00:00,2019-04-30 17:10:00,AVE,85.1,Turista,Promo
2019-04-30 15:00:00,2019-04-30 17:45:00,AVE,85.1,Turista,Promo
2019-04-30 15:25:00,2019-04-30 17:55:00,AVE,68.65,Turista,Promo
2019-04-30 16:00:00,2019-04-30 19:10:00,AVE,80.15,Turista Plus,Promo
