departure date,arrival date,train type,price,train class,fare
2019-04-27 06:20:00,2019-04-27 09:29:00,AVE,86.8,Preferente,Promo
2019-04-27 07:30:00,2019-04-27 10:40:00,AVE,75.4,Turista,Promo
2019-04-27 08:30:00,2019-04-27 11:15:00,AVE,107.7,Turista,Flexible
2019-04-27 09:30:00,2019-04-27 12:34:00,AVE,107.7,Turista,Flexible
2019-04-27 10:30:00,2019-04-27 13:15:00,AVE,80.15,Turista Plus,Promo
2019-04-27 11:30:00,2019-04-27 14:40:00,AVE,102.15,Turista Plus,Promo
2019-04-27 12:30:00,2019-04-27 15:30:00,AVE,107.7,Turista,Flexible
2019-04-27 13:25:00,2019-04-27 16:24:00,AVE-TGV,107.7,Turista,Flexible
2019-04-27 15:30:00,2019-04-27 18:40:00,AVE,69.8,Turista Plus,Promo
2019-04-27 16:30:00,2019-04-27 19:15:00,AVE,66.75,Turista,Promo
2019-04-27 17:30:00,2019-04-27 20:40:00,AVE,58.15,Turista,Promo
2019-04-27 18:30:00,2019-04-27 21:20:00,AVE,98.0,Preferente,Promo
2019-04-27 19:30:00,2019-04-27 22:40:00,AVE,90.5,Turista Plus,Promo
2019-04-27 20:30:00,2019-04-27 23:40:00,AVE,58.15,Turista,Promo
2019-04-28 06:20:00,2019-04-28 09:29:00,AVE,49.55,Turista,Promo
2019-04-28 07:30:00,2019-04-28 10:40:00,AVE,75.4,Turista,Promo
2019-04-28 08:30:00,2019-04-28 11:15:00,AVE,58.15,Turista,Promo
2019-04-28 09:30:00,2019-04-28 12:34:00,AVE,90.5,Turista Plus,Promo
2019-04-28 10:30:00,2019-04-28 13:15:00,AVE,66.75,Turista,Promo
2019-04-28 11:30:00,2019-04-28 14:40:00,AVE,107.7,Turista,Flexible
2019-04-28 12:30:00,2019-04-28 15:30:00,AVE,69.8,Turista Plus,Promo
2019-04-28 13:25:00,2019-04-28 16:24:00,AVE-TGV,181.5,Preferente,Flexible
2019-04-28 14:00:00,2019-04-28 16:30:00,AVE,100.4,Turista,Promo
2019-04-28 14:30:00,2019-04-28 17:21:00,AVE,107.7,Turista,Flexible
2019-04-28 15:30:00,2019-04-28 18:40:00,AVE,107.7,Turista,Flexible
2019-04-28 16:00:00,2019-04-28 18:30:00,AVE,78.8,Turista,Promo
2019-04-28 16:30:00,2019-04-28 19:15:00,AVE,107.7,Turista,Flexible
2019-04-28 17:00:00,2019-04-28 19:30:00,AVE,98.55,Preferente,Promo
2019-04-28 17:30:00,2019-04-28 20:40:00,AVE,112.55,Preferente,Promo
2019-04-28 18:00:00,2019-04-28 20:30:00,AVE,127.1,Turista,Flexible
2019-04-28 18:30:00,2019-04-28 21:20:00,AVE,112.55,Preferente,Promo
2019-04-28 19:00:00,2019-04-28 21:30:00,AVE,100.4,Turista,Promo
2019-04-28 19:30:00,2019-04-28 22:40:00,AVE,107.7,Turista,Flexible
2019-04-28 20:00:00,2019-04-28 22:30:00,AVE,78.8,Turista,Promo
2019-04-28 20:30:00,2019-04-28 23:40:00,AVE,102.15,Turista Plus,Promo
2019-04-28 21:25:00,2019-04-28 23:55:00,AVE,59.5,Turista Plus,Promo
2019-04-26 05:50:00,2019-04-26 08:55:00,AVE,66.75,Turista,Promo
2019-04-26 06:30:00,2019-04-26 09:20:00,AVE,66.75,Turista,Promo
2019-04-26 07:00:00,2019-04-26 09:30:00,AVE,106.75,Turista Plus,Promo
2019-04-26 07:15:00,2019-04-26 16:37:00,R. EXPRES,43.25,Turista,Adulto ida
2019-04-26 07:30:00,2019-04-26 10:40:00,AVE,69.8,Turista Plus,Promo
2019-04-26 08:00:00,2019-04-26 10:30:00,AVE,106.75,Turista Plus,Promo
2019-04-26 08:30:00,2019-04-26 11:15:00,AVE,58.15,Turista,Promo
2019-04-26 09:30:00,2019-04-26 12:34:00,AVE,129.3,Turista Plus,Flexible
2019-04-26 10:30:00,2019-04-26 13:15:00,AVE,66.75,Turista,Promo
2019-04-26 11:30:00,2019-04-26 14:40:00,AVE,107.7,Turista,Flexible
2019-04-26 12:30:00,2019-04-26 15:30:00,AVE,58.15,Turista,Promo
2019-04-26 13:25:00,2019-04-26 16:24:00,AVE-TGV,181.5,Preferente,Flexible
2019-04-26 14:00:00,2019-04-26 16:30:00,AVE,78.8,Turista,Promo
2019-04-26 14:30:00,2019-04-26 17:21:00,AVE,107.7,Turista,Flexible
2019-04-26 15:00:00,2019-04-26 17:30:00,AVE,127.1,Turista,Flexible
2019-04-26 15:30:00,2019-04-26 18:40:00,AVE,181.5,Preferente,Flexible
2019-04-26 16:00:00,2019-04-26 18:30:00,AVE,94.55,Turista Plus,Promo
2019-04-26 16:30:00,2019-04-26 19:15:00,AVE,143.4,Preferente,Promo
2019-04-26 17:00:00,2019-04-26 19:30:00,AVE,127.1,Turista,Flexible
2019-04-26 17:30:00,2019-04-26 20:40:00,AVE,102.15,Turista Plus,Promo
2019-04-26 18:00:00,2019-04-26 20:30:00,AVE,82.35,Turista Plus,Promo
2019-04-26 18:30:00,2019-04-26 21:20:00,AVE,107.7,Turista,Flexible
2019-04-26 19:00:00,2019-04-26 21:30:00,AVE,127.1,Turista,Flexible
2019-04-26 19:30:00,2019-04-26 22:40:00,AVE,107.7,Turista,Flexible
2019-04-26 20:00:00,2019-04-26 22:30:00,AVE,127.1,Turista,Flexible
2019-04-26 20:30:00,2019-04-26 23:40:00,AVE,107.7,Turista,Flexible
2019-04-26 21:25:00,2019-04-26 23:55:00,AVE,75.4,Turista,Promo
2019-04-25 05:50:00,2019-04-25 08:55:00,AVE,66.75,Turista,Promo
2019-04-25 06:10:00,2019-04-25 08:40:00,AVE,66.75,Turista,Promo
2019-04-25 06:30:00,2019-04-25 09:20:00,AVE,58.15,Turista,Promo
2019-04-25 07:00:00,2019-04-25 09:30:00,AVE,127.1,Turista,Flexible
2019-04-25 07:15:00,2019-04-25 16:37:00,R. EXPRES,43.25,Turista,Adulto ida
2019-04-25 07:20:00,2019-04-25 09:50:00,AVE,88.95,Turista,Promo
2019-04-25 07:30:00,2019-04-25 10:40:00,AVE,66.75,Turista,Promo
2019-04-25 08:00:00,2019-04-25 10:30:00,AVE,57.95,Turista Plus,Promo
2019-04-25 08:20:00,2019-04-25 11:05:00,AVE,98.0,Preferente,Promo
2019-04-25 08:30:00,2019-04-25 11:15:00,AVE,58.15,Turista,Promo
2019-04-25 09:30:00,2019-04-25 12:34:00,AVE,127.05,Preferente,Promo
2019-04-25 10:30:00,2019-04-25 13:15:00,AVE,,Turista Plus,Promo
2019-04-25 11:30:00,2019-04-25 14:40:00,AVE,49.15,Turista Plus,Promo
2019-04-25 12:30:00,2019-04-25 15:30:00,AVE,102.15,Turista Plus,Promo
2019-04-25 13:25:00,2019-04-25 16:24:00,AVE-TGV,107.7,Turista,Flexible
2019-04-25 14:00:00,2019-04-25 16:30:00,AVE,68.65,Turista,Promo
2019-04-25 14:30:00,2019-04-25 17:21:00,AVE,107.7,Turista,Flexible
2019-04-25 15:00:00,2019-04-25 17:30:00,AVE,68.65,Turista,Promo
2019-04-25 15:30:00,2019-04-25 18:40:00,AVE,107.7,Turista,Flexible
2019-04-25 16:00:00,2019-04-25 18:30:00,AVE,100.4,Turista,Promo
2019-04-25 16:30:00,2019-04-25 19:15:00,AVE,107.7,Turista,Flexible
2019-04-25 17:00:00,2019-04-25 19:30:00,AVE,100.4,Turista,Promo
2019-04-25 17:30:00,2019-04-25 20:40:00,AVE,107.7,Turista,Flexible
2019-04-25 18:00:00,2019-04-25 20:30:00,AVE,106.75,Turista Plus,Promo
2019-04-25 18:30:00,2019-04-25 21:20:00,AVE,107.7,Turista,Flexible
2019-04-25 19:00:00,2019-04-25 21:30:00,AVE,127.1,Turista,Flexible
2019-04-25 19:30:00,2019-04-25 22:40:00,AVE,129.3,Turista Plus,Flexible
2019-04-25 20:00:00,2019-04-25 22:30:00,AVE,115.65,Preferente,Promo
2019-04-25 20:30:00,2019-04-25 23:40:00,AVE,107.7,Turista,Flexible
2019-04-25 21:25:00,2019-04-25 23:55:00,AVE,90.5,Turista Plus,Promo
2019-06-07 07:15:00,2019-06-07 16:37:00,R. EXPRES,43.25,Turista,Adulto ida
2019-06-05 07:15:00,2019-06-05 16:37:00,R. EXPRES,43.25,Turista,Adulto ida
2019-06-03 07:15:00,2019-06-03 16:37:00,R. EXPRES,43.25,Turista,Adulto ida
2019-06-04 07:15:00,2019-06-04 16:37:00,R. EXPRES,43.25,Turista,Adulto ida
2019-06-02 06:20:00,2019-06-02 09:29:00,AVE,66.75,Turista,Promo
2019-06-02 07:30:00,2019-06-02 10:40:00,AVE,66.75,Turista,Promo
2019-06-02 08:30:00,2019-06-02 11:15:00,AVE,85.1,Turista,Promo
2019-06-02 09:30:00,2019-06-02 12:34:00,AVE,85.1,Turista,Promo
2019-06-02 10:30:00,2019-06-02 13:15:00,AVE,85.1,Turista,Promo
2019-06-02 11:30:00,2019-06-02 14:40:00,AVE,107.7,Turista,Flexible
2019-06-02 12:30:00,2019-06-02 15:30:00,AVE,102.15,Turista Plus,Promo
2019-06-02 13:25:00,2019-06-02 16:24:00,AVE-TGV,90.5,Turista Plus,Promo
2019-06-02 14:00:00,2019-06-02 16:30:00,AVE,88.95,Turista,Promo
2019-06-02 14:30:00,2019-06-02 17:21:00,AVE,90.5,Turista Plus,Promo
2019-06-02 15:30:00,2019-06-02 18:40:00,AVE,90.5,Turista Plus,Promo
2019-06-02 16:00:00,2019-06-02 18:30:00,AVE,88.95,Turista,Promo
2019-06-02 16:30:00,2019-06-02 19:15:00,AVE,98.0,Preferente,Promo
2019-06-02 17:00:00,2019-06-02 19:30:00,AVE,88.95,Turista,Promo
2019-06-02 17:30:00,2019-06-02 20:40:00,AVE,98.0,Preferente,Promo
2019-06-02 18:00:00,2019-06-02 20:30:00,AVE,100.4,Turista,Promo
2019-06-02 18:30:00,2019-06-02 21:20:00,AVE,98.0,Preferente,Promo
2019-06-02 19:00:00,2019-06-02 21:30:00,AVE,98.55,Preferente,Promo
2019-06-02 19:30:00,2019-06-02 22:40:00,AVE,85.1,Turista,Promo
2019-06-02 20:00:00,2019-06-02 22:30:00,AVE,88.95,Turista,Promo
2019-06-02 20:30:00,2019-06-02 23:40:00,AVE,85.1,Turista,Promo
2019-06-02 21:25:00,2019-06-02 23:55:00,AVE,75.4,Turista,Promo
2019-06-01 06:20:00,2019-06-01 09:29:00,AVE,58.15,Turista,Promo
2019-06-01 07:30:00,2019-06-01 10:40:00,AVE,75.4,Turista,Promo
2019-06-01 08:30:00,2019-06-01 11:15:00,AVE,85.1,Turista,Promo
2019-06-01 09:30:00,2019-06-01 12:34:00,AVE,75.4,Turista,Promo
2019-06-01 10:30:00,2019-06-01 13:15:00,AVE,75.4,Turista,Promo
2019-06-01 11:30:00,2019-06-01 14:40:00,AVE,75.4,Turista,Promo
2019-06-01 12:30:00,2019-06-01 15:30:00,AVE,80.15,Turista Plus,Promo
2019-06-01 13:25:00,2019-06-01 16:24:00,AVE-TGV,75.4,Turista,Promo
2019-06-01 15:30:00,2019-06-01 18:40:00,AVE,80.15,Turista Plus,Promo
2019-06-01 16:30:00,2019-06-01 19:15:00,AVE,80.15,Turista Plus,Promo
2019-06-01 17:30:00,2019-06-01 20:40:00,AVE,98.0,Preferente,Promo
2019-06-01 18:30:00,2019-06-01 21:20:00,AVE,69.8,Turista Plus,Promo
2019-06-01 19:30:00,2019-06-01 22:40:00,AVE,58.15,Turista,Promo
2019-06-01 20:30:00,2019-06-01 23:40:00,AVE,66.75,Turista,Promo
2019-05-31 05:50:00,2019-05-31 08:55:00,AVE,49.55,Turista,Promo
2019-05-31 06:30:00,2019-05-31 09:20:00,AVE,58.15,Turista,Promo
2019-05-31 07:00:00,2019-05-31 09:30:00,AVE,78.8,Turista,Promo
2019-05-31 07:15:00,2019-05-31 16:37:00,R. EXPRES,43.25,Turista,Adulto ida
2019-05-31 07:30:00,2019-05-31 10:40:00,AVE,75.4,Turista,Promo
2019-05-31 08:00:00,2019-05-31 10:30:00,AVE,78.8,Turista,Promo
2019-05-31 08:30:00,2019-05-31 11:15:00,AVE,85.1,Turista,Promo
2019-05-31 09:30:00,2019-05-31 12:34:00,AVE,85.1,Turista,Promo
2019-05-31 10:30:00,2019-05-31 13:15:00,AVE,75.4,Turista,Promo
2019-05-31 11:30:00,2019-05-31 14:40:00,AVE,85.1,Turista,Promo
2019-05-31 12:30:00,2019-05-31 15:30:00,AVE,85.1,Turista,Promo
2019-05-31 13:25:00,2019-05-31 16:24:00,AVE-TGV,75.4,Turista,Promo
2019-05-31 14:00:00,2019-05-31 16:30:00,AVE,100.4,Turista,Promo
2019-05-31 14:30:00,2019-05-31 17:21:00,AVE,85.1,Turista,Promo
2019-05-31 15:00:00,2019-05-31 17:30:00,AVE,100.4,Turista,Promo
2019-05-31 15:30:00,2019-05-31 18:40:00,AVE,102.15,Turista Plus,Promo
2019-05-31 16:00:00,2019-05-31 18:30:00,AVE,127.1,Turista,Flexible
2019-05-31 16:30:00,2019-05-31 19:15:00,AVE,107.7,Turista,Flexible
2019-05-31 17:00:00,2019-05-31 19:30:00,AVE,127.1,Turista,Flexible
2019-05-31 17:30:00,2019-05-31 20:40:00,AVE,90.5,Turista Plus,Promo
2019-05-31 18:00:00,2019-05-31 20:30:00,AVE,100.4,Turista,Promo
2019-05-31 18:30:00,2019-05-31 21:20:00,AVE,98.0,Preferente,Promo
2019-05-31 19:00:00,2019-05-31 21:30:00,AVE,88.95,Turista,Promo
2019-05-31 19:30:00,2019-05-31 22:40:00,AVE,75.4,Turista,Promo
2019-05-31 20:00:00,2019-05-31 22:30:00,AVE,78.8,Turista,Promo
2019-05-31 20:30:00,2019-05-31 23:40:00,AVE,66.75,Turista,Promo
2019-05-31 21:25:00,2019-05-31 23:55:00,AVE,75.4,Turista,Promo
2019-05-30 05:50:00,2019-05-30 08:55:00,AVE,58.15,Turista,Promo
2019-05-30 06:10:00,2019-05-30 08:40:00,AVE,66.75,Turista,Promo
2019-05-30 06:30:00,2019-05-30 09:20:00,AVE,49.55,Turista,Promo
2019-05-30 07:00:00,2019-05-30 09:30:00,AVE,78.8,Turista,Promo
2019-05-30 07:15:00,2019-05-30 16:37:00,R. EXPRES,43.25,Turista,Adulto ida
2019-05-30 07:20:00,2019-05-30 09:50:00,AVE,88.95,Turista,Promo
2019-05-30 07:30:00,2019-05-30 10:40:00,AVE,85.1,Turista,Promo
2019-05-30 08:00:00,2019-05-30 10:30:00,AVE,78.8,Turista,Promo
2019-05-30 08:20:00,2019-05-30 11:05:00,AVE,75.4,Turista,Promo
2019-05-30 08:30:00,2019-05-30 11:15:00,AVE,85.1,Turista,Promo
2019-05-30 09:30:00,2019-05-30 12:34:00,AVE,85.1,Turista,Promo
2019-05-30 10:30:00,2019-05-30 13:15:00,AVE,75.4,Turista,Promo
2019-05-30 11:30:00,2019-05-30 14:40:00,AVE,75.4,Turista,Promo
2019-05-30 12:30:00,2019-05-30 15:30:00,AVE,75.4,Turista,Promo
2019-05-30 13:25:00,2019-05-30 16:24:00,AVE-TGV,58.15,Turista,Promo
2019-05-30 14:00:00,2019-05-30 16:30:00,AVE,68.65,Turista,Promo
2019-05-30 14:30:00,2019-05-30 17:21:00,AVE,66.75,Turista,Promo
2019-05-30 15:00:00,2019-05-30 17:30:00,AVE,78.8,Turista,Promo
2019-05-30 15:30:00,2019-05-30 18:40:00,AVE,85.1,Turista,Promo
2019-05-30 16:00:00,2019-05-30 18:30:00,AVE,88.95,Turista,Promo
2019-05-30 16:30:00,2019-05-30 19:15:00,AVE,85.1,Turista,Promo
2019-05-30 17:00:00,2019-05-30 19:30:00,AVE,100.4,Turista,Promo
2019-05-30 17:30:00,2019-05-30 20:40:00,AVE,75.4,Turista,Promo
2019-05-30 18:00:00,2019-05-30 20:30:00,AVE,127.1,Turista,Flexible
2019-05-30 18:30:00,2019-05-30 21:20:00,AVE,90.5,Turista Plus,Promo
2019-05-30 19:00:00,2019-05-30 21:30:00,AVE,100.4,Turista,Promo
2019-05-30 19:30:00,2019-05-30 22:40:00,AVE,75.4,Turista,Promo
2019-05-30 20:00:00,2019-05-30 22:30:00,AVE,78.8,Turista,Promo
2019-05-30 20:30:00,2019-05-30 23:40:00,AVE,66.75,Turista,Promo
2019-05-30 21:25:00,2019-05-30 23:55:00,AVE,66.75,Turista,Promo
2019-04-23 06:10:00,2019-04-23 08:40:00,AVE,107.7,Turista,Flexible
2019-04-23 06:30:00,2019-04-23 09:20:00,AVE,107.7,Turista,Flexible
2019-04-23 07:00:00,2019-04-23 09:30:00,AVE,120.5,Turista Plus,Promo
2019-04-23 07:15:00,2019-04-23 16:37:00,R. EXPRES,43.25,Turista,Adulto ida
2019-04-23 07:20:00,2019-04-23 09:50:00,AVE,78.8,Turista,Promo
2019-04-23 07:30:00,2019-04-23 10:40:00,AVE,80.15,Turista Plus,Promo
2019-04-23 08:00:00,2019-04-23 10:30:00,AVE,115.65,Preferente,Promo
2019-04-23 08:20:00,2019-04-23 11:05:00,AVE,98.0,Preferente,Promo
2019-04-23 08:30:00,2019-04-23 11:15:00,AVE,107.7,Turista,Flexible
2019-04-23 09:00:00,2019-04-23 11:45:00,AVE,98.0,Preferente,Promo
2019-04-23 09:30:00,2019-04-23 12:34:00,AVE,107.7,Turista,Flexible
2019-04-23 10:30:00,2019-04-23 13:15:00,AVE,107.7,Turista,Flexible
2019-04-23 11:30:00,2019-04-23 14:40:00,AVE,129.3,Turista Plus,Flexible
2019-04-23 12:30:00,2019-04-23 15:30:00,AVE,107.7,Turista,Flexible
2019-04-23 13:25:00,2019-04-23 16:24:00,AVE-TGV,181.5,Preferente,Flexible
2019-04-23 14:00:00,2019-04-23 16:30:00,AVE,100.4,Turista,Promo
2019-04-23 14:30:00,2019-04-23 17:21:00,AVE,181.5,Preferente,Flexible
2019-04-23 15:00:00,2019-04-23 17:30:00,AVE,132.8,Preferente,Promo
2019-04-23 15:30:00,2019-04-23 18:40:00,AVE,,Preferente,Promo
2019-04-23 16:00:00,2019-04-23 18:30:00,AVE,98.55,Preferente,Promo
2019-04-23 16:30:00,2019-04-23 19:15:00,AVE,107.7,Turista,Flexible
2019-04-23 17:00:00,2019-04-23 19:30:00,AVE,100.4,Turista,Promo
2019-04-23 17:30:00,2019-04-23 20:40:00,AVE,107.7,Turista,Flexible
2019-04-23 18:00:00,2019-04-23 20:30:00,AVE,98.55,Preferente,Promo
2019-04-23 18:30:00,2019-04-23 21:20:00,AVE,181.5,Preferente,Flexible
2019-04-23 19:00:00,2019-04-23 21:30:00,AVE,127.1,Turista,Flexible
2019-04-23 19:30:00,2019-04-23 22:40:00,AVE,107.7,Turista,Flexible
2019-04-23 20:00:00,2019-04-23 22:30:00,AVE,78.8,Turista,Promo
2019-04-23 20:30:00,2019-04-23 23:40:00,AVE,69.8,Turista Plus,Promo
2019-04-23 21:25:00,2019-04-23 23:55:00,AVE,69.8,Turista Plus,Promo
2019-05-28 06:10:00,2019-05-28 08:40:00,AVE,80.15,Turista Plus,Promo
2019-05-28 06:30:00,2019-05-28 09:20:00,AVE,66.75,Turista,Promo
2019-05-28 07:00:00,2019-05-28 09:30:00,AVE,94.55,Turista Plus,Promo
2019-05-28 07:15:00,2019-05-28 16:37:00,R. EXPRES,43.25,Turista,Adulto ida
2019-05-28 07:20:00,2019-05-28 09:50:00,AVE,100.4,Turista,Promo
2019-05-28 07:30:00,2019-05-28 10:40:00,AVE,85.1,Turista,Promo
2019-05-28 08:00:00,2019-05-28 10:30:00,AVE,100.4,Turista,Promo
2019-05-28 08:20:00,2019-05-28 11:05:00,AVE,75.4,Turista,Promo
2019-05-28 08:30:00,2019-05-28 11:15:00,AVE,75.4,Turista,Promo
2019-05-28 09:00:00,2019-05-28 11:45:00,AVE,85.1,Turista,Promo
2019-05-28 09:30:00,2019-05-28 12:34:00,AVE,80.15,Turista Plus,Promo
2019-05-28 10:30:00,2019-05-28 13:15:00,AVE,85.1,Turista,Promo
2019-05-28 11:30:00,2019-05-28 14:40:00,AVE,75.4,Turista,Promo
2019-05-28 12:30:00,2019-05-28 15:30:00,AVE,49.55,Turista,Promo
2019-05-28 13:25:00,2019-05-28 16:24:00,AVE-TGV,66.75,Turista,Promo
2019-05-28 14:00:00,2019-05-28 16:30:00,AVE,78.8,Turista,Promo
2019-05-28 14:30:00,2019-05-28 17:21:00,AVE,66.75,Turista,Promo
2019-05-28 15:00:00,2019-05-28 17:30:00,AVE,68.65,Turista,Promo
2019-05-28 15:30:00,2019-05-28 18:40:00,AVE,80.15,Turista Plus,Promo
2019-05-28 16:00:00,2019-05-28 18:30:00,AVE,68.65,Turista,Promo
2019-05-28 16:30:00,2019-05-28 19:15:00,AVE,107.7,Turista,Flexible
2019-05-28 17:00:00,2019-05-28 19:30:00,AVE,88.95,Turista,Promo
2019-05-28 17:30:00,2019-05-28 20:40:00,AVE,80.15,Turista Plus,Promo
2019-05-28 18:00:00,2019-05-28 20:30:00,AVE,100.4,Turista,Promo
2019-05-28 18:30:00,2019-05-28 21:20:00,AVE,102.15,Turista Plus,Promo
2019-05-28 19:00:00,2019-05-28 21:30:00,AVE,78.8,Turista,Promo
2019-05-28 19:30:00,2019-05-28 22:40:00,AVE,75.4,Turista,Promo
2019-05-28 20:00:00,2019-05-28 22:30:00,AVE,88.95,Turista,Promo
2019-05-28 20:30:00,2019-05-28 23:40:00,AVE,40.95,Turista,Promo
2019-05-28 21:25:00,2019-05-28 23:55:00,AVE,58.15,Turista,Promo
2019-05-26 06:20:00,2019-05-26 09:29:00,AVE,49.55,Turista,Promo
2019-05-26 07:30:00,2019-05-26 10:40:00,AVE,66.75,Turista,Promo
2019-05-26 08:30:00,2019-05-26 11:15:00,AVE,80.15,Turista Plus,Promo
2019-05-26 09:30:00,2019-05-26 12:34:00,AVE,85.1,Turista,Promo
2019-05-26 10:30:00,2019-05-26 13:15:00,AVE,85.1,Turista,Promo
2019-05-26 11:30:00,2019-05-26 14:40:00,AVE,102.15,Turista Plus,Promo
2019-05-26 12:30:00,2019-05-26 15:30:00,AVE,90.5,Turista Plus,Promo
2019-05-26 13:25:00,2019-05-26 16:24:00,AVE-TGV,85.1,Turista,Promo
2019-05-26 14:00:00,2019-05-26 16:30:00,AVE,100.4,Turista,Promo
2019-05-26 14:30:00,2019-05-26 17:21:00,AVE,98.0,Preferente,Promo
2019-05-26 15:30:00,2019-05-26 18:40:00,AVE,102.15,Turista Plus,Promo
2019-05-26 16:00:00,2019-05-26 18:30:00,AVE,100.4,Turista,Promo
2019-05-26 16:30:00,2019-05-26 19:15:00,AVE,107.7,Turista,Flexible
2019-05-26 17:00:00,2019-05-26 19:30:00,AVE,100.4,Turista,Promo
2019-05-26 17:30:00,2019-05-26 20:40:00,AVE,107.7,Turista,Flexible
2019-05-26 18:00:00,2019-05-26 20:30:00,AVE,115.65,Preferente,Promo
2019-05-26 18:30:00,2019-05-26 21:20:00,AVE,102.15,Turista Plus,Promo
2019-05-26 19:00:00,2019-05-26 21:30:00,AVE,115.65,Preferente,Promo
2019-05-26 19:30:00,2019-05-26 22:40:00,AVE,66.75,Turista,Promo
2019-05-26 20:00:00,2019-05-26 22:30:00,AVE,100.4,Turista,Promo
2019-05-26 20:30:00,2019-05-26 23:40:00,AVE,98.0,Preferente,Promo
2019-05-26 21:25:00,2019-05-26 23:55:00,AVE,75.4,Turista,Promo
2019-05-25 06:20:00,2019-05-25 09:29:00,AVE,75.6,Preferente,Promo
2019-05-25 07:30:00,2019-05-25 10:40:00,AVE,85.1,Turista,Promo
2019-05-25 08:30:00,2019-05-25 11:15:00,AVE,85.1,Turista,Promo
2019-05-25 09:30:00,2019-05-25 12:34:00,AVE,85.1,Turista,Promo
2019-05-25 10:30:00,2019-05-25 13:15:00,AVE,75.4,Turista,Promo
2019-05-25 11:30:00,2019-05-25 14:40:00,AVE,75.4,Turista,Promo
2019-05-25 12:30:00,2019-05-25 15:30:00,AVE,75.4,Turista,Promo
2019-05-25 13:25:00,2019-05-25 16:24:00,AVE-TGV,75.4,Turista,Promo
2019-05-25 15:30:00,2019-05-25 18:40:00,AVE,80.15,Turista Plus,Promo
2019-05-25 16:30:00,2019-05-25 19:15:00,AVE,80.15,Turista Plus,Promo
2019-05-25 17:30:00,2019-05-25 20:40:00,AVE,66.75,Turista,Promo
2019-05-25 18:30:00,2019-05-25 21:20:00,AVE,75.4,Turista,Promo
2019-05-25 19:30:00,2019-05-25 22:40:00,AVE,58.15,Turista,Promo
2019-05-25 20:30:00,2019-05-25 23:40:00,AVE,75.4,Turista,Promo
2019-05-24 05:50:00,2019-05-24 08:55:00,AVE,49.55,Turista,Promo
2019-05-24 06:30:00,2019-05-24 09:20:00,AVE,40.95,Turista,Promo
2019-05-24 07:00:00,2019-05-24 09:30:00,AVE,78.8,Turista,Promo
2019-05-24 07:15:00,2019-05-24 16:37:00,R. EXPRES,43.25,Turista,Adulto ida
2019-05-24 07:30:00,2019-05-24 10:40:00,AVE,75.4,Turista,Promo
2019-05-24 08:00:00,2019-05-24 10:30:00,AVE,68.65,Turista,Promo
2019-05-24 08:30:00,2019-05-24 11:15:00,AVE,85.1,Turista,Promo
2019-05-24 09:30:00,2019-05-24 12:34:00,AVE,80.15,Turista Plus,Promo
2019-05-24 10:30:00,2019-05-24 13:15:00,AVE,75.4,Turista,Promo
2019-05-24 11:30:00,2019-05-24 14:40:00,AVE,85.1,Turista,Promo
