departure date,arrival date,train type,price,train class,fare
2019-04-28 14:40:00,2019-04-28 18:33:00,AVE-MD,59.6,Turista con enlace,Flexible
2019-04-28 17:30:00,2019-04-28 21:33:00,ALVIA,55.8,Turista,Flexible
2019-04-28 22:14:00,2019-04-29 04:31:00,TRENHOTEL,45.8,Turista,Flexible
2019-04-27 12:20:00,2019-04-27 18:52:00,LD-MD,34.35,Turista con enlace,Promo +
2019-04-27 14:40:00,2019-04-27 18:52:00,LD,57.0,Turista con enlace,Flexible
2019-04-26 14:40:00,2019-04-26 18:33:00,AVE-MD,59.6,Turista con enlace,Flexible
2019-04-26 17:30:00,2019-04-26 21:33:00,ALVIA,55.8,Turista,Flexible
2019-04-26 22:14:00,2019-04-27 04:31:00,TRENHOTEL,74.2,Cama Turista,Flexible
2019-04-25 12:20:00,2019-04-25 18:52:00,LD-MD,34.35,Turista con enlace,Promo +
2019-04-25 14:40:00,2019-04-25 18:33:00,AVE-MD,59.6,Turista con enlace,Flexible
2019-04-25 17:30:00,2019-04-25 21:33:00,ALVIA,55.8,Turista,Flexible
2019-04-25 22:14:00,2019-04-26 04:31:00,TRENHOTEL,74.2,Cama Turista,Flexible
2019-04-24 14:40:00,2019-04-24 18:33:00,AVE-MD,59.6,Turista con enlace,Flexible
2019-04-24 17:30:00,2019-04-24 21:33:00,ALVIA,55.8,Turista,Flexible
2019-04-24 22:14:00,2019-04-25 04:31:00,TRENHOTEL,45.8,Turista,Flexible
2019-06-02 14:40:00,2019-06-02 18:33:00,AVE-MD,35.75,Turista con enlace,Promo
2019-06-02 17:30:00,2019-06-02 21:33:00,ALVIA,33.5,Turista,Promo
2019-06-01 12:20:00,2019-06-01 18:52:00,LD-MD,,Turista con enlace,Promo +
2019-06-01 14:40:00,2019-06-01 18:52:00,LD,42.75,Turista con enlace,Promo +
2019-05-31 14:40:00,2019-05-31 18:33:00,AVE-MD,59.6,Turista con enlace,Flexible
2019-05-31 17:30:00,2019-05-31 21:33:00,ALVIA,55.8,Turista,Flexible
2019-05-30 12:20:00,2019-05-30 18:52:00,LD-MD,34.35,Turista con enlace,Promo +
2019-05-30 14:40:00,2019-05-30 18:33:00,AVE-MD,44.7,Turista con enlace,Promo +
2019-05-30 17:30:00,2019-05-30 21:33:00,ALVIA,39.05,Turista,Promo
2019-05-29 14:40:00,2019-05-29 18:33:00,AVE-MD,35.75,Turista con enlace,Promo
2019-05-29 17:30:00,2019-05-29 21:33:00,ALVIA,33.5,Turista,Promo
2019-04-23 12:20:00,2019-04-23 18:52:00,LD-MD,34.35,Turista con enlace,Promo +
2019-04-23 14:40:00,2019-04-23 18:33:00,AVE-MD,59.6,Turista con enlace,Flexible
2019-04-23 17:30:00,2019-04-23 21:33:00,ALVIA,55.8,Turista,Flexible
2019-04-23 22:14:00,2019-04-24 04:31:00,TRENHOTEL,,,
2019-05-28 12:20:00,2019-05-28 18:52:00,LD-MD,34.35,Turista con enlace,Promo +
2019-05-28 14:40:00,2019-05-28 18:33:00,AVE-MD,38.75,Turista con enlace,Promo +
2019-05-28 17:30:00,2019-05-28 21:33:00,ALVIA,33.5,Turista,Promo
2019-05-27 12:20:00,2019-05-27 18:52:00,LD-MD,34.35,Turista con enlace,Promo +
2019-05-27 14:40:00,2019-05-27 18:33:00,AVE-MD,38.75,Turista con enlace,Promo +
2019-05-27 17:30:00,2019-05-27 21:33:00,ALVIA,33.5,Turista,Promo
2019-05-26 14:40:00,2019-05-26 18:33:00,AVE-MD,44.7,Turista con enlace,Promo +
2019-05-26 17:30:00,2019-05-26 21:33:00,ALVIA,55.8,Turista,Flexible
2019-05-25 12:20:00,2019-05-25 18:52:00,LD-MD,34.35,Turista con enlace,Promo +
2019-05-25 14:40:00,2019-05-25 18:52:00,LD,42.75,Turista con enlace,Promo +
2019-05-24 14:40:00,2019-05-24 18:33:00,AVE-MD,59.6,Turista con enlace,Flexible
2019-05-24 17:30:00,2019-05-24 21:33:00,ALVIA,55.8,Turista,Flexible
2019-05-23 12:20:00,2019-05-23 18:52:00,LD-MD,34.35,Turista con enlace,Promo +
2019-05-23 14:40:00,2019-05-23 18:33:00,AVE-MD,44.7,Turista con enlace,Promo +
2019-05-23 17:30:00,2019-05-23 21:33:00,ALVIA,55.8,Turista,Flexible
2019-05-23 22:14:00,2019-05-24 04:31:00,TRENHOTEL,45.8,Turista,Flexible
2019-05-22 14:40:00,2019-05-22 18:33:00,AVE-MD,35.75,Turista con enlace,Promo
2019-05-22 17:30:00,2019-05-22 21:33:00,ALVIA,33.5,Turista,Promo
2019-05-22 22:14:00,2019-05-23 04:31:00,TRENHOTEL,45.8,Turista,Flexible
2019-05-21 12:20:00,2019-05-21 18:52:00,LD-MD,34.35,Turista con enlace,Promo +
2019-05-21 14:40:00,2019-05-21 18:33:00,AVE-MD,35.75,Turista con enlace,Promo
2019-05-21 17:30:00,2019-05-21 21:33:00,ALVIA,33.5,Turista,Promo
2019-05-21 22:14:00,2019-05-22 04:31:00,TRENHOTEL,45.8,Turista,Flexible
2019-05-20 12:20:00,2019-05-20 18:52:00,LD-MD,34.35,Turista con enlace,Promo +
2019-05-20 14:40:00,2019-05-20 18:33:00,AVE-MD,38.75,Turista con enlace,Promo +
2019-05-20 17:30:00,2019-05-20 21:33:00,ALVIA,33.5,Turista,Promo
2019-05-20 22:14:00,2019-05-21 04:31:00,TRENHOTEL,45.8,Turista,Flexible
2019-05-19 14:40:00,2019-05-19 18:33:00,AVE-MD,38.75,Turista con enlace,Promo +
2019-05-19 17:30:00,2019-05-19 21:33:00,ALVIA,55.8,Turista,Flexible
2019-05-19 22:14:00,2019-05-20 04:31:00,TRENHOTEL,45.8,Turista,Flexible
2019-04-22 12:20:00,2019-04-22 18:52:00,LD-MD,34.35,Turista con enlace,Promo +
2019-04-22 14:40:00,2019-04-22 18:33:00,AVE-MD,44.7,Turista con enlace,Promo +
2019-04-22 17:30:00,2019-04-22 21:33:00,ALVIA,55.8,Turista,Flexible
2019-04-22 22:14:00,2019-04-23 04:31:00,TRENHOTEL,45.8,Turista,Flexible
2019-05-18 12:20:00,2019-05-18 18:52:00,LD-MD,34.35,Turista con enlace,Promo +
2019-05-18 14:40:00,2019-05-18 18:52:00,LD,42.75,Turista con enlace,Promo +
2019-05-17 14:40:00,2019-05-17 18:33:00,AVE-MD,59.6,Turista con enlace,Flexible
2019-05-17 17:30:00,2019-05-17 21:33:00,ALVIA,55.8,Turista,Flexible
2019-05-17 22:14:00,2019-05-18 04:31:00,TRENHOTEL,45.8,Turista,Flexible
2019-05-16 12:20:00,2019-05-16 18:52:00,LD-MD,34.35,Turista con enlace,Promo +
2019-05-16 14:40:00,2019-05-16 18:33:00,AVE-MD,38.75,Turista con enlace,Promo +
2019-05-16 17:30:00,2019-05-16 21:33:00,ALVIA,55.8,Turista,Flexible
2019-05-16 22:14:00,2019-05-17 04:31:00,TRENHOTEL,45.8,Turista,Flexible
2019-05-15 14:40:00,2019-05-15 18:33:00,AVE-MD,38.75,Turista con enlace,Promo +
2019-05-15 17:30:00,2019-05-15 21:33:00,ALVIA,33.5,Turista,Promo
2019-05-15 22:14:00,2019-05-16 04:31:00,TRENHOTEL,45.8,Turista,Flexible
2019-05-14 12:20:00,2019-05-14 18:52:00,LD-MD,34.35,Turista con enlace,Promo +
2019-05-14 14:40:00,2019-05-14 18:33:00,AVE-MD,35.75,Turista con enlace,Promo
2019-05-14 17:30:00,2019-05-14 21:33:00,ALVIA,33.5,Turista,Promo
2019-05-14 22:14:00,2019-05-15 04:31:00,TRENHOTEL,45.8,Turista,Flexible
2019-05-13 12:20:00,2019-05-13 18:52:00,LD-MD,34.35,Turista con enlace,Promo +
2019-05-13 14:40:00,2019-05-13 18:33:00,AVE-MD,38.75,Turista con enlace,Promo +
2019-05-13 17:30:00,2019-05-13 21:33:00,ALVIA,33.5,Turista,Promo
2019-05-13 22:14:00,2019-05-14 04:31:00,TRENHOTEL,45.8,Turista,Flexible
2019-05-12 14:40:00,2019-05-12 18:33:00,AVE-MD,59.6,Turista con enlace,Flexible
2019-05-12 17:30:00,2019-05-12 21:33:00,ALVIA,55.8,Turista,Flexible
2019-05-12 22:14:00,2019-05-13 04:31:00,TRENHOTEL,45.8,Turista,Flexible
2019-05-11 12:20:00,2019-05-11 18:52:00,LD-MD,34.35,Turista con enlace,Promo +
2019-05-11 14:40:00,2019-05-11 18:52:00,LD,57.0,Turista con enlace,Flexible
2019-05-10 14:40:00,2019-05-10 18:33:00,AVE-MD,59.6,Turista con enlace,Flexible
2019-05-10 17:30:00,2019-05-10 21:33:00,ALVIA,55.8,Turista,Flexible
2019-05-10 22:14:00,2019-05-11 04:31:00,TRENHOTEL,45.8,Turista,Flexible
2019-05-09 12:20:00,2019-05-09 18:52:00,LD-MD,34.35,Turista con enlace,Promo +
2019-05-09 14:40:00,2019-05-09 18:33:00,AVE-MD,38.75,Turista con enlace,Promo +
2019-05-09 17:30:00,2019-05-09 21:33:00,ALVIA,55.8,Turista,Flexible
2019-05-09 22:14:00,2019-05-10 04:31:00,TRENHOTEL,45.8,Turista,Flexible
2019-04-21 14:40:00,2019-04-21 18:33:00,AVE-MD,44.7,Turista con enlace,Promo +
2019-04-21 17:30:00,2019-04-21 21:33:00,ALVIA,55.8,Turista,Flexible
2019-04-21 22:14:00,2019-04-22 04:31:00,TRENHOTEL,,,
2019-05-08 14:40:00,2019-05-08 18:33:00,AVE-MD,38.75,Turista con enlace,Promo +
2019-05-08 17:30:00,2019-05-08 21:33:00,ALVIA,33.5,Turista,Promo
2019-05-08 22:14:00,2019-05-09 04:31:00,TRENHOTEL,45.8,Turista,Flexible
2019-05-07 12:20:00,2019-05-07 18:52:00,LD-MD,34.35,Turista con enlace,Promo +
2019-05-07 14:40:00,2019-05-07 18:33:00,AVE-MD,38.75,Turista con enlace,Promo +
