departure date,arrival date,train type,price,train class,fare
2019-05-29 06:20:00,2019-05-29 09:16:00,AV City,38.55,Turista,Promo
2019-05-29 07:00:00,2019-05-29 09:32:00,AVE,53.4,Turista,Promo
2019-05-29 07:30:00,2019-05-29 09:51:00,AVE,47.3,Turista,Promo
2019-05-29 08:00:00,2019-05-29 10:32:00,AVE,69.4,Preferente,Promo
2019-05-29 08:30:00,2019-05-29 11:14:00,ALVIA,,Turista,Promo
2019-05-29 09:00:00,2019-05-29 11:38:00,AVE,60.3,Turista,Promo
2019-05-29 09:45:00,2019-05-29 12:27:00,INTERCITY,62.2,Turista,Flexible
2019-05-29 10:00:00,2019-05-29 12:32:00,AVE,47.3,Turista,Promo
2019-05-29 11:00:00,2019-05-29 13:32:00,AVE,53.4,Turista,Promo
2019-05-29 11:05:00,2019-05-29 13:41:00,ALVIA,,Turista,Promo
2019-05-29 12:00:00,2019-05-29 14:32:00,AVE,53.4,Turista,Promo
2019-05-29 13:00:00,2019-05-29 15:40:00,AVE,53.4,Turista,Promo
2019-05-29 13:30:00,2019-05-29 16:05:00,ALVIA,,Turista,Promo
2019-05-29 14:00:00,2019-05-29 16:32:00,AVE,60.3,Turista,Promo
2019-05-29 15:00:00,2019-05-29 17:21:00,AVE,60.3,Turista,Promo
2019-05-29 16:00:00,2019-05-29 18:30:00,AVE,60.3,Turista,Promo
2019-05-29 16:30:00,2019-05-29 18:51:00,AVE,76.3,Turista,Flexible
2019-05-29 17:00:00,2019-05-29 19:38:00,AVE,76.3,Turista,Flexible
2019-05-29 18:00:00,2019-05-29 20:32:00,AVE,76.3,Turista,Flexible
2019-05-29 18:35:00,2019-05-29 21:08:00,ALVIA,67.2,Turista,Flexible
2019-05-29 19:00:00,2019-05-29 21:38:00,AVE,76.3,Turista,Flexible
2019-05-29 19:30:00,2019-05-29 22:05:00,AVE,60.3,Turista,Promo
2019-05-29 20:35:00,2019-05-29 23:15:00,AVE,53.4,Turista,Promo
2019-05-29 21:25:00,2019-05-30 00:10:00,AV City,43.55,Turista,Promo
2019-04-23 06:20:00,2019-04-23 09:16:00,AV City,43.55,Turista,Promo
2019-04-23 07:00:00,2019-04-23 09:32:00,AVE,76.3,Turista,Flexible
2019-04-23 07:30:00,2019-04-23 09:51:00,AVE,76.3,Turista,Flexible
2019-04-23 08:00:00,2019-04-23 10:32:00,AVE,76.3,Turista,Flexible
2019-04-23 08:30:00,2019-04-23 11:14:00,ALVIA,,Turista,Flexible
2019-04-23 09:00:00,2019-04-23 11:38:00,AVE,76.3,Turista,Flexible
2019-04-23 09:45:00,2019-04-23 12:27:00,INTERCITY,62.2,Turista,Flexible
2019-04-23 10:00:00,2019-04-23 12:32:00,AVE,76.3,Turista,Flexible
2019-04-23 11:00:00,2019-04-23 13:32:00,AVE,69.4,Preferente,Promo
2019-04-23 11:05:00,2019-04-23 13:41:00,ALVIA,67.2,Turista,Flexible
2019-04-23 12:00:00,2019-04-23 14:32:00,AVE,53.4,Turista,Promo
2019-04-23 13:00:00,2019-04-23 15:40:00,AVE,47.3,Turista,Promo
2019-04-23 13:10:00,2019-04-23 20:51:00,MD-LD,34.35,Turista con enlace,Promo +
2019-04-23 13:30:00,2019-04-23 16:05:00,ALVIA,,Turista,Promo
2019-04-23 14:00:00,2019-04-23 16:32:00,AVE,60.3,Turista,Promo
2019-04-23 15:00:00,2019-04-23 17:21:00,AVE,69.4,Preferente,Promo
2019-04-23 16:00:00,2019-04-23 18:30:00,AVE,69.4,Preferente,Promo
2019-04-23 16:30:00,2019-04-23 18:51:00,AVE,53.4,Turista,Promo
2019-04-23 17:00:00,2019-04-23 19:38:00,AVE,76.3,Turista,Flexible
2019-04-23 18:00:00,2019-04-23 20:32:00,AVE,76.3,Turista,Flexible
2019-04-23 19:00:00,2019-04-23 21:38:00,AVE,69.4,Preferente,Promo
2019-04-23 20:35:00,2019-04-23 23:15:00,AVE,53.4,Turista,Promo
2019-04-23 21:25:00,2019-04-24 00:10:00,AV City,38.55,Turista,Promo
2019-05-26 07:00:00,2019-05-26 09:55:00,AV City,43.55,Turista,Promo
2019-05-26 08:30:00,2019-05-26 11:14:00,ALVIA,,Turista,Flexible
2019-05-26 09:00:00,2019-05-26 11:38:00,AVE,76.3,Turista,Flexible
2019-05-26 11:00:00,2019-05-26 13:32:00,AVE,76.3,Turista,Flexible
2019-05-26 11:05:00,2019-05-26 13:41:00,ALVIA,,Preferente,Promo
2019-05-26 12:00:00,2019-05-26 14:32:00,AVE,69.4,Preferente,Promo
2019-05-26 13:00:00,2019-05-26 15:40:00,AVE,53.4,Turista,Promo
2019-05-26 13:30:00,2019-05-26 16:05:00,ALVIA,,Turista,Promo
2019-05-26 14:00:00,2019-05-26 16:32:00,AVE,53.4,Turista,Promo
2019-05-26 15:00:00,2019-05-26 17:21:00,AVE,53.4,Turista,Promo
2019-05-26 16:00:00,2019-05-26 18:30:00,AVE,60.3,Turista,Promo
2019-05-26 16:30:00,2019-05-26 18:51:00,AVE,53.4,Turista,Promo
2019-05-26 17:00:00,2019-05-26 19:38:00,AVE,53.4,Turista,Promo
2019-05-26 18:00:00,2019-05-26 20:32:00,AVE,60.3,Turista,Promo
2019-05-26 18:35:00,2019-05-26 21:08:00,ALVIA,,Turista,Promo
2019-05-26 19:00:00,2019-05-26 21:38:00,AVE,60.3,Turista,Promo
2019-05-26 19:30:00,2019-05-26 22:05:00,AVE,69.4,Preferente,Promo
2019-05-26 20:00:00,2019-05-26 22:21:00,AVE,64.05,Turista Plus,Promo
2019-05-26 20:35:00,2019-05-26 23:15:00,AVE,47.3,Turista,Promo
2019-05-26 21:25:00,2019-05-27 00:10:00,AV City,43.55,Turista,Promo
2019-05-19 07:00:00,2019-05-19 09:55:00,AV City,49.15,Turista,Promo
2019-05-19 08:30:00,2019-05-19 11:14:00,ALVIA,,Turista,Flexible
2019-05-19 09:00:00,2019-05-19 11:38:00,AVE,76.3,Turista,Flexible
2019-05-19 11:00:00,2019-05-19 13:32:00,AVE,60.3,Turista,Promo
2019-05-19 11:05:00,2019-05-19 13:41:00,ALVIA,,Preferente,Promo
2019-05-19 12:00:00,2019-05-19 14:32:00,AVE,69.4,Preferente,Promo
2019-05-19 13:00:00,2019-05-19 15:40:00,AVE,60.3,Turista,Promo
2019-05-19 13:30:00,2019-05-19 16:05:00,ALVIA,,Turista,Promo
2019-05-19 14:00:00,2019-05-19 16:32:00,AVE,53.4,Turista,Promo
2019-05-19 15:00:00,2019-05-19 17:21:00,AVE,76.3,Turista,Flexible
2019-05-19 16:00:00,2019-05-19 18:30:00,AVE,69.4,Preferente,Promo
2019-05-19 16:30:00,2019-05-19 18:51:00,AVE,69.4,Preferente,Promo
2019-05-19 17:00:00,2019-05-19 19:38:00,AVE,69.4,Preferente,Promo
2019-05-19 18:00:00,2019-05-19 20:32:00,AVE,76.3,Turista,Flexible
2019-05-19 18:35:00,2019-05-19 21:08:00,ALVIA,,Preferente,Promo
2019-05-19 19:00:00,2019-05-19 21:38:00,AVE,69.4,Preferente,Promo
2019-05-19 19:30:00,2019-05-19 22:05:00,AVE,69.4,Preferente,Promo
2019-05-19 20:00:00,2019-05-19 22:21:00,AVE,64.05,Turista Plus,Promo
2019-05-19 20:35:00,2019-05-19 23:15:00,AVE,64.05,Turista Plus,Promo
2019-05-19 21:25:00,2019-05-20 00:10:00,AV City,58.95,Turista Plus,Promo
2019-05-18 07:00:00,2019-05-18 09:55:00,AV City,58.95,Turista Plus,Promo
2019-05-18 08:00:00,2019-05-18 10:32:00,AVE,76.3,Turista,Flexible
2019-05-18 08:30:00,2019-05-18 11:14:00,ALVIA,,Turista,Flexible
2019-05-18 09:00:00,2019-05-18 11:38:00,AVE,76.3,Turista,Flexible
2019-05-18 09:45:00,2019-05-18 12:27:00,INTERCITY,62.2,Turista,Flexible
2019-05-18 10:00:00,2019-05-18 12:32:00,AVE,76.3,Turista,Flexible
2019-05-18 11:00:00,2019-05-18 13:32:00,AVE,60.3,Turista,Promo
2019-05-18 11:05:00,2019-05-18 13:41:00,ALVIA,,Turista,Promo
2019-05-18 12:00:00,2019-05-18 14:32:00,AVE,60.3,Turista,Promo
2019-05-18 13:30:00,2019-05-18 16:05:00,ALVIA,,Turista,Promo
2019-05-18 14:00:00,2019-05-18 16:32:00,AVE,60.3,Turista,Promo
2019-05-18 16:00:00,2019-05-18 18:30:00,AVE,69.35,Preferente,Promo
2019-05-18 17:00:00,2019-05-18 19:38:00,AVE,61.45,Preferente,Promo
2019-05-18 18:00:00,2019-05-18 20:32:00,AVE,61.45,Preferente,Promo
2019-05-18 19:00:00,2019-05-18 21:38:00,AVE,76.3,Turista,Flexible
2019-05-18 20:35:00,2019-05-18 23:15:00,AVE,60.3,Turista,Promo
2019-05-18 21:25:00,2019-05-19 00:10:00,AV City,49.15,Turista,Promo
2019-05-17 06:20:00,2019-05-17 09:16:00,AV City,49.15,Turista,Promo
2019-05-17 07:00:00,2019-05-17 09:32:00,AVE,76.3,Turista,Flexible
2019-05-17 08:00:00,2019-05-17 10:32:00,AVE,76.3,Turista,Flexible
2019-05-17 08:30:00,2019-05-17 11:14:00,ALVIA,,Turista,Flexible
2019-05-17 09:00:00,2019-05-17 11:38:00,AVE,76.3,Turista,Flexible
2019-05-17 09:45:00,2019-05-17 12:27:00,INTERCITY,62.2,Turista,Flexible
2019-05-17 10:00:00,2019-05-17 12:32:00,AVE,76.3,Turista,Flexible
2019-05-17 11:00:00,2019-05-17 13:32:00,AVE,76.3,Turista,Flexible
2019-05-17 11:05:00,2019-05-17 13:41:00,ALVIA,,Turista,Promo
2019-05-17 12:00:00,2019-05-17 14:32:00,AVE,60.3,Turista,Promo
2019-05-17 13:00:00,2019-05-17 15:40:00,AVE,60.3,Turista,Promo
2019-05-17 13:30:00,2019-05-17 16:05:00,ALVIA,,Preferente,Promo
2019-05-17 14:00:00,2019-05-17 16:32:00,AVE,101.5,Preferente,Promo
2019-05-17 15:00:00,2019-05-17 17:21:00,AVE,76.3,Turista,Flexible
2019-05-17 16:00:00,2019-05-17 18:30:00,AVE,128.5,Preferente,Flexible
2019-05-17 16:30:00,2019-05-17 18:55:00,AVE,76.3,Turista,Flexible
2019-05-17 17:00:00,2019-05-17 19:38:00,AVE,76.3,Turista,Flexible
2019-05-17 18:00:00,2019-05-17 20:32:00,AVE,76.3,Turista,Flexible
2019-05-17 18:35:00,2019-05-17 21:08:00,ALVIA,87.4,Preferente,Flexible
2019-05-17 19:00:00,2019-05-17 21:38:00,AVE,128.5,Preferente,Flexible
2019-05-17 19:30:00,2019-05-17 22:05:00,AVE,76.3,Turista,Flexible
2019-05-17 20:00:00,2019-05-17 22:21:00,AVE,76.3,Turista,Flexible
2019-05-17 20:35:00,2019-05-17 23:15:00,AVE,76.3,Turista,Flexible
2019-05-17 21:25:00,2019-05-18 00:10:00,AV City,58.95,Turista Plus,Promo
2019-05-16 06:20:00,2019-05-16 09:16:00,AV City,43.55,Turista,Promo
2019-05-16 07:00:00,2019-05-16 09:32:00,AVE,60.3,Turista,Promo
2019-05-16 07:30:00,2019-05-16 09:51:00,AVE,69.4,Preferente,Promo
2019-05-16 08:00:00,2019-05-16 10:32:00,AVE,76.3,Turista,Flexible
2019-05-16 08:30:00,2019-05-16 11:14:00,ALVIA,,Preferente,Promo
2019-05-16 09:00:00,2019-05-16 11:38:00,AVE,69.4,Preferente,Promo
2019-05-16 09:45:00,2019-05-16 12:27:00,INTERCITY,62.2,Turista,Flexible
2019-05-16 10:00:00,2019-05-16 12:32:00,AVE,76.3,Turista,Flexible
2019-05-16 11:00:00,2019-05-16 13:32:00,AVE,53.4,Turista,Promo
2019-05-16 11:05:00,2019-05-16 13:41:00,ALVIA,,Turista,Promo
2019-05-16 12:00:00,2019-05-16 14:32:00,AVE,53.4,Turista,Promo
2019-05-16 13:00:00,2019-05-16 15:40:00,AVE,53.4,Turista,Promo
2019-05-16 13:30:00,2019-05-16 16:05:00,ALVIA,,Turista,Promo
2019-05-16 14:00:00,2019-05-16 16:32:00,AVE,60.3,Turista,Promo
2019-05-16 15:00:00,2019-05-16 17:21:00,AVE,76.3,Turista,Flexible
2019-05-16 16:00:00,2019-05-16 18:30:00,AVE,76.3,Turista,Flexible
2019-05-16 16:30:00,2019-05-16 18:51:00,AVE,76.3,Turista,Flexible
2019-05-16 17:00:00,2019-05-16 19:38:00,AVE,76.3,Turista,Flexible
2019-05-16 18:00:00,2019-05-16 20:32:00,AVE,76.3,Turista,Flexible
2019-05-16 18:35:00,2019-05-16 21:08:00,ALVIA,,Turista,Flexible
2019-05-16 19:00:00,2019-05-16 21:38:00,AVE,76.3,Turista,Flexible
2019-05-16 19:30:00,2019-05-16 22:05:00,AVE,76.3,Turista,Flexible
2019-05-16 20:00:00,2019-05-16 22:21:00,AVE,76.3,Turista,Flexible
2019-05-16 20:35:00,2019-05-16 23:15:00,AVE,76.3,Turista,Flexible
2019-05-16 21:25:00,2019-05-17 00:10:00,AV City,43.55,Turista,Promo
2019-05-15 07:00:00,2019-05-15 09:55:00,AV City,49.15,Turista,Promo
2019-05-15 08:00:00,2019-05-15 10:32:00,AVE,69.4,Preferente,Promo
2019-05-15 08:30:00,2019-05-15 11:14:00,ALVIA,,Turista,Flexible
2019-05-15 09:00:00,2019-05-15 11:38:00,AVE,76.3,Turista,Flexible
2019-05-15 09:45:00,2019-05-15 12:27:00,INTERCITY,62.2,Turista,Flexible
2019-05-15 10:00:00,2019-05-15 12:32:00,AVE,76.3,Turista,Flexible
2019-05-15 11:00:00,2019-05-15 13:32:00,AVE,60.3,Turista,Promo
2019-05-15 11:05:00,2019-05-15 13:41:00,ALVIA,,Turista,Promo
2019-05-15 12:00:00,2019-05-15 14:32:00,AVE,53.4,Turista,Promo
2019-05-15 13:00:00,2019-05-15 15:40:00,AVE,47.3,Turista,Promo
2019-05-15 13:30:00,2019-05-15 16:05:00,ALVIA,,Turista,Promo
2019-05-15 14:00:00,2019-05-15 16:32:00,AVE,47.3,Turista,Promo
2019-05-15 15:00:00,2019-05-15 17:21:00,AVE,47.3,Turista,Promo
2019-05-15 16:00:00,2019-05-15 18:30:00,AVE,47.3,Turista,Promo
2019-05-15 17:00:00,2019-05-15 19:38:00,AVE,47.3,Turista,Promo
2019-05-15 18:00:00,2019-05-15 20:32:00,AVE,47.3,Turista,Promo
2019-05-15 19:00:00,2019-05-15 21:38:00,AVE,47.3,Turista,Promo
2019-05-15 19:30:00,2019-05-15 22:05:00,AVE,47.3,Turista,Promo
2019-05-15 20:35:00,2019-05-15 23:15:00,AVE,53.4,Turista,Promo
2019-05-15 21:25:00,2019-05-16 00:10:00,AV City,38.55,Turista,Promo
2019-05-14 06:20:00,2019-05-14 09:16:00,AV City,38.55,Turista,Promo
2019-05-14 07:00:00,2019-05-14 09:32:00,AVE,76.3,Turista,Flexible
2019-05-14 07:30:00,2019-05-14 09:51:00,AVE,60.3,Turista,Promo
2019-05-14 08:00:00,2019-05-14 10:32:00,AVE,76.3,Turista,Flexible
2019-05-14 08:30:00,2019-05-14 11:14:00,ALVIA,,Turista,Promo
2019-05-14 09:00:00,2019-05-14 11:38:00,AVE,53.4,Turista,Promo
2019-05-14 09:45:00,2019-05-14 12:27:00,INTERCITY,62.2,Turista,Flexible
2019-05-14 10:00:00,2019-05-14 12:32:00,AVE,60.3,Turista,Promo
2019-05-14 11:00:00,2019-05-14 13:32:00,AVE,53.4,Turista,Promo
2019-05-14 11:05:00,2019-05-14 13:41:00,ALVIA,,Turista,Promo
2019-05-14 12:00:00,2019-05-14 14:32:00,AVE,53.4,Turista,Promo
2019-05-14 13:00:00,2019-05-14 15:40:00,AVE,47.3,Turista,Promo
2019-05-14 13:30:00,2019-05-14 16:05:00,ALVIA,52.45,Preferente,Promo
2019-05-14 14:00:00,2019-05-14 16:32:00,AVE,60.3,Turista,Promo
2019-05-14 15:00:00,2019-05-14 17:21:00,AVE,47.3,Turista,Promo
2019-05-14 16:00:00,2019-05-14 18:30:00,AVE,69.4,Preferente,Promo
2019-05-14 16:30:00,2019-05-14 18:51:00,AVE,53.4,Turista,Promo
2019-05-14 17:00:00,2019-05-14 19:38:00,AVE,69.4,Preferente,Promo
2019-05-14 18:00:00,2019-05-14 20:32:00,AVE,76.3,Turista,Flexible
2019-05-14 18:35:00,2019-05-14 21:08:00,ALVIA,67.2,Turista,Flexible
2019-05-14 19:00:00,2019-05-14 21:38:00,AVE,60.3,Turista,Promo
2019-05-14 20:35:00,2019-05-14 23:15:00,AVE,53.4,Turista,Promo
2019-05-14 21:25:00,2019-05-15 00:10:00,AV City,43.55,Turista,Promo
2019-05-12 07:00:00,2019-05-12 09:55:00,AV City,43.55,Turista,Promo
2019-05-12 08:30:00,2019-05-12 11:14:00,ALVIA,,Turista,Flexible
2019-05-12 09:00:00,2019-05-12 11:38:00,AVE,76.3,Turista,Flexible
2019-05-12 11:00:00,2019-05-12 13:32:00,AVE,76.3,Turista,Flexible
2019-05-12 11:05:00,2019-05-12 13:41:00,ALVIA,,Turista,Flexible
2019-05-12 12:00:00,2019-05-12 14:32:00,AVE,76.3,Turista,Flexible
2019-05-12 13:00:00,2019-05-12 15:40:00,AVE,76.3,Turista,Flexible
2019-05-12 13:30:00,2019-05-12 16:05:00,ALVIA,,Turista,Promo
2019-05-12 14:00:00,2019-05-12 16:32:00,AVE,60.3,Turista,Promo
2019-05-12 15:00:00,2019-05-12 17:21:00,AVE,76.3,Turista,Flexible
2019-05-12 16:00:00,2019-05-12 18:30:00,AVE,76.3,Turista,Flexible
2019-05-12 16:30:00,2019-05-12 18:51:00,AVE,76.3,Turista,Flexible
2019-05-12 17:00:00,2019-05-12 19:38:00,AVE,69.4,Preferente,Promo
2019-05-12 18:00:00,2019-05-12 20:32:00,AVE,76.3,Turista,Flexible
2019-05-12 18:35:00,2019-05-12 21:08:00,ALVIA,,Turista,Flexible
2019-05-12 19:00:00,2019-05-12 21:38:00,AVE,76.3,Turista,Flexible
2019-05-12 19:30:00,2019-05-12 22:05:00,AVE,76.3,Turista,Flexible
2019-05-12 20:00:00,2019-05-12 22:21:00,AVE,76.3,Turista,Flexible
2019-05-12 20:35:00,2019-05-12 23:15:00,AVE,76.3,Turista,Flexible
2019-05-12 21:25:00,2019-05-13 00:10:00,AV City,58.95,Turista Plus,Promo
2019-05-11 07:00:00,2019-05-11 09:55:00,AV City,58.95,Turista Plus,Promo
2019-05-11 08:00:00,2019-05-11 10:32:00,AVE,61.45,Preferente,Promo
2019-05-11 08:30:00,2019-05-11 11:14:00,ALVIA,,Turista,Promo
2019-05-11 09:00:00,2019-05-11 11:38:00,AVE,60.3,Turista,Promo
2019-05-11 09:45:00,2019-05-11 12:27:00,INTERCITY,,Turista,Flexible
2019-05-11 10:00:00,2019-05-11 12:32:00,AVE,76.3,Turista,Flexible
2019-05-11 11:00:00,2019-05-11 13:32:00,AVE,60.3,Turista,Promo
2019-05-11 11:05:00,2019-05-11 13:41:00,ALVIA,,Turista,Promo
2019-05-11 12:00:00,2019-05-11 14:32:00,AVE,60.3,Turista,Promo
2019-05-11 13:30:00,2019-05-11 16:05:00,ALVIA,,Turista,Promo
2019-05-11 14:00:00,2019-05-11 16:32:00,AVE,53.4,Turista,Promo
2019-05-11 16:00:00,2019-05-11 18:30:00,AVE,61.45,Preferente,Promo
2019-05-11 17:00:00,2019-05-11 19:38:00,AVE,60.3,Turista,Promo
2019-05-11 18:00:00,2019-05-11 20:32:00,AVE,61.45,Preferente,Promo
2019-05-11 19:00:00,2019-05-11 21:38:00,AVE,61.45,Preferente,Promo
2019-05-11 20:35:00,2019-05-11 23:15:00,AVE,53.4,Turista,Promo
2019-05-11 21:25:00,2019-05-12 00:10:00,AV City,52.2,Turista Plus,Promo
2019-05-10 06:20:00,2019-05-10 09:16:00,AV City,52.2,Turista Plus,Promo
2019-05-10 08:00:00,2019-05-10 10:32:00,AVE,76.3,Turista,Flexible
2019-05-10 08:30:00,2019-05-10 11:14:00,ALVIA,,Turista,Flexible
2019-05-10 09:00:00,2019-05-10 11:38:00,AVE,76.3,Turista,Flexible
2019-05-10 09:45:00,2019-05-10 12:27:00,INTERCITY,,Turista,Flexible
2019-05-10 10:00:00,2019-05-10 12:32:00,AVE,76.3,Turista,Flexible
2019-05-10 11:00:00,2019-05-10 13:32:00,AVE,76.3,Turista,Flexible
2019-05-10 11:05:00,2019-05-10 13:41:00,ALVIA,,Turista,Flexible
2019-05-10 12:00:00,2019-05-10 14:32:00,AVE,76.3,Turista,Flexible
2019-05-10 13:00:00,2019-05-10 15:40:00,AVE,60.3,Turista,Promo
2019-05-10 13:30:00,2019-05-10 16:05:00,ALVIA,,Turista,Flexible
2019-05-10 14:00:00,2019-05-10 16:32:00,AVE,76.3,Turista,Flexible
2019-05-10 15:00:00,2019-05-10 17:21:00,AVE,76.3,Turista,Flexible
2019-05-10 16:00:00,2019-05-10 18:30:00,AVE,76.3,Turista,Flexible
2019-05-10 16:30:00,2019-05-10 18:55:00,AVE,76.3,Turista,Flexible
2019-05-10 17:00:00,2019-05-10 19:38:00,AVE,76.3,Turista,Flexible
2019-05-10 18:00:00,2019-05-10 20:32:00,AVE,76.3,Turista,Flexible
2019-05-10 18:35:00,2019-05-10 21:08:00,ALVIA,,Turista,Flexible
2019-05-10 19:00:00,2019-05-10 21:38:00,AVE,76.3,Turista,Flexible
2019-05-10 19:30:00,2019-05-10 22:05:00,AVE,79.65,Preferente,Promo
2019-05-10 20:00:00,2019-05-10 22:21:00,AVE,72.3,Turista Plus,Promo
2019-05-10 20:35:00,2019-05-10 23:15:00,AVE,72.3,Turista Plus,Promo
2019-05-10 21:25:00,2019-05-11 00:10:00,AV City,62.2,Turista,Flexible
2019-05-09 06:20:00,2019-05-09 09:16:00,AV City,43.55,Turista,Promo
2019-05-09 07:30:00,2019-05-09 09:51:00,AVE,60.3,Turista,Promo
2019-05-09 08:00:00,2019-05-09 10:32:00,AVE,76.3,Turista,Flexible
