departure date,arrival date,train type,price,train class,fare
2019-04-26 16:45:00,2019-04-26 18:50:00,ALVIA,71.0,Turista,Flexible
2019-04-26 16:55:00,2019-04-26 21:58:00,AVE-LD,,Preferente,Promo
2019-04-28 06:20:00,2019-04-28 12:55:00,REGIONAL,28.35,Turista,Adulto ida
2019-04-28 08:40:00,2019-04-28 10:33:00,AVE,39.45,Turista,Promo
2019-04-28 09:40:00,2019-04-28 11:24:00,AVE,39.45,Turista,Promo
2019-04-28 10:40:00,2019-04-28 12:20:00,AVE,51.15,Turista,Promo
2019-04-28 11:10:00,2019-04-28 13:25:00,INTERCITY,55.4,Turista,Flexible
2019-04-28 11:55:00,2019-04-28 13:35:00,AVE,66.55,Preferente,Promo
2019-04-28 12:42:00,2019-04-28 19:04:00,REGIONAL,28.35,Turista,Adulto ida
2019-04-28 14:10:00,2019-04-28 16:03:00,AVE,57.75,Turista,Promo
2019-04-28 15:30:00,2019-04-28 22:31:00,AVE-MD,71.0,Turista con enlace,Flexible
2019-04-28 15:40:00,2019-04-28 17:22:00,AVE,66.55,Preferente,Promo
2019-04-28 16:30:00,2019-04-28 22:47:00,REGIONAL,28.35,Turista,Adulto ida
2019-04-28 16:45:00,2019-04-28 18:50:00,ALVIA,46.15,Preferente,Promo
2019-04-28 16:55:00,2019-04-28 21:58:00,AVE-LD,56.1,Turista con enlace,Flexible
2019-04-28 17:10:00,2019-04-28 18:54:00,AVE,66.55,Preferente,Promo
2019-04-28 17:48:00,2019-04-28 21:58:00,INTERCITY,36.05,Turista Plus,Promo
2019-04-28 18:40:00,2019-04-28 20:20:00,AVE,57.75,Turista,Promo
2019-04-28 19:40:00,2019-04-28 21:29:00,AVE,66.55,Preferente,Promo
2019-04-28 20:40:00,2019-04-28 22:24:00,AVE,66.55,Preferente,Promo
2019-04-28 21:10:00,2019-04-28 23:03:00,AVE,57.75,Turista,Promo
2019-04-27 08:00:00,2019-04-27 14:10:00,REGIONAL,28.35,Turista,Adulto ida
2019-04-27 08:40:00,2019-04-27 10:33:00,AVE,45.3,Turista,Promo
2019-04-27 09:40:00,2019-04-27 11:24:00,AVE,57.75,Turista,Promo
2019-04-27 10:40:00,2019-04-27 12:20:00,AVE,51.15,Turista,Promo
2019-04-27 11:10:00,2019-04-27 13:25:00,INTERCITY,55.4,Turista,Flexible
2019-04-27 11:55:00,2019-04-27 13:35:00,AVE,58.95,Preferente,Promo
2019-04-27 14:10:00,2019-04-27 16:03:00,AVE,57.75,Turista,Promo
2019-04-27 15:30:00,2019-04-27 22:31:00,AVE-MD,71.0,Turista con enlace,Flexible
2019-04-27 15:40:00,2019-04-27 17:22:00,AVE,45.3,Turista,Promo
2019-04-27 16:30:00,2019-04-27 22:47:00,REGIONAL,28.35,Turista,Adulto ida
2019-04-27 17:40:00,2019-04-27 19:20:00,AVE,66.55,Preferente,Promo
2019-04-27 19:40:00,2019-04-27 21:29:00,AVE,73.1,Turista,Flexible
