departure date,arrival date,train type,price,train class,fare
2019-04-28 11:28:00,2019-04-28 16:00:00,LD,57.0,Turista con enlace,Flexible
2019-04-28 11:44:00,2019-04-28 16:00:00,MD-LD,54.1,Turista con enlace,Flexible
2019-04-28 13:44:00,2019-04-28 19:21:00,LD,,Turista con enlace,Flexible
2019-04-28 15:00:00,2019-04-28 19:42:00,MD-AVE,59.5,Turista con enlace,Flexible
2019-04-28 17:15:00,2019-04-28 23:03:00,MD-AVE,39.95,Turista con enlace,Promo +
2019-04-28 18:55:00,2019-04-28 23:03:00,ALVIA,33.5,Turista,Promo
2019-04-26 02:36:00,2019-04-26 09:31:00,TRENHOTEL,45.8,Turista,Flexible
2019-04-26 06:11:00,2019-04-26 11:57:00,LD,,Turista,Promo
2019-04-26 11:28:00,2019-04-26 16:00:00,LD,57.0,Turista con enlace,Flexible
2019-04-26 11:44:00,2019-04-26 16:00:00,MD-LD,54.1,Turista con enlace,Flexible
2019-04-26 13:44:00,2019-04-26 19:21:00,LD,,Turista con enlace,Promo +
2019-04-26 17:55:00,2019-04-26 22:55:00,MD-LD,40.6,Turista con enlace,Promo +
2019-04-25 02:36:00,2019-04-25 09:31:00,TRENHOTEL,45.8,Turista,Flexible
2019-04-25 06:11:00,2019-04-25 11:57:00,LD,,Turista,Promo
2019-04-25 11:28:00,2019-04-25 16:00:00,LD,57.0,Turista con enlace,Flexible
2019-04-25 11:44:00,2019-04-25 16:00:00,MD-LD,54.1,Turista con enlace,Flexible
2019-04-25 13:44:00,2019-04-25 19:21:00,LD,47.0,Turista con enlace,Flexible
2019-04-25 17:55:00,2019-04-25 22:55:00,MD-LD,35.15,Turista con enlace,Promo +
2019-06-02 15:00:00,2019-06-02 19:42:00,MD-AVE,59.5,Turista con enlace,Flexible
2019-06-02 17:15:00,2019-06-02 23:03:00,MD-AVE,34.65,Turista con enlace,Promo +
2019-06-02 18:55:00,2019-06-02 23:03:00,ALVIA,27.9,Turista,Promo
2019-05-31 06:11:00,2019-05-31 10:15:00,ALVIA,33.5,Turista,Promo
2019-05-31 17:55:00,2019-05-31 22:55:00,MD-LD,32.45,Turista con enlace,Promo
2019-05-30 06:11:00,2019-05-30 11:57:00,LD,,Turista,Promo
2019-05-30 11:28:00,2019-05-30 16:00:00,LD,42.75,Turista con enlace,Promo +
2019-05-30 13:44:00,2019-05-30 19:21:00,LD,47.0,Turista con enlace,Flexible
2019-05-30 17:55:00,2019-05-30 22:55:00,MD-LD,21.65,Turista con enlace,Promo
2019-05-29 06:11:00,2019-05-29 11:57:00,LD,,Turista,Promo
2019-05-29 11:28:00,2019-05-29 16:00:00,LD,42.75,Turista con enlace,Promo +
2019-05-29 13:44:00,2019-05-29 19:21:00,LD,47.0,Turista con enlace,Flexible
2019-05-29 17:55:00,2019-05-29 22:55:00,MD-LD,21.65,Turista con enlace,Promo
2019-04-23 02:36:00,2019-04-23 09:31:00,TRENHOTEL,150.6,Cama G. Clase,Individual-Flexible
2019-04-23 06:11:00,2019-04-23 11:57:00,LD,,Turista con enlace,Promo +
2019-04-23 11:28:00,2019-04-23 16:00:00,LD,,Turista con enlace,Promo +
2019-04-23 11:44:00,2019-04-23 16:00:00,MD-LD,,Turista con enlace,Promo +
2019-04-23 13:44:00,2019-04-23 19:21:00,LD,,Turista con enlace,Promo +
2019-04-23 15:00:00,2019-04-23 19:42:00,MD-AVE,44.6,Turista con enlace,Promo +
2019-04-23 17:55:00,2019-04-23 22:55:00,MD-LD,40.6,Turista con enlace,Promo +
2019-05-28 06:11:00,2019-05-28 11:57:00,LD,,Turista,Promo
2019-05-28 11:28:00,2019-05-28 16:00:00,LD,42.75,Turista con enlace,Promo +
2019-05-28 13:44:00,2019-05-28 19:21:00,LD,32.9,Turista con enlace,Promo
