departure date,arrival date,train type,price,train class,fare
2019-05-28 06:10:00,2019-05-28 08:58:00,AV City,43.55,Turista,Promo
2019-05-28 06:45:00,2019-05-28 09:15:00,AVE,76.3,Turista,Flexible
2019-05-28 07:15:00,2019-05-28 09:55:00,AVE,53.4,Turista,Promo
2019-05-28 07:40:00,2019-05-28 10:05:00,AVE,60.3,Turista,Promo
2019-05-28 08:45:00,2019-05-28 11:15:00,AVE,76.3,Turista,Flexible
2019-05-28 09:40:00,2019-05-28 12:23:00,AVE,69.4,Preferente,Promo
2019-05-28 09:50:00,2019-05-28 12:36:00,ALVIA,,Turista,Promo
2019-05-28 10:45:00,2019-05-28 13:17:00,AVE,53.4,Turista,Promo
2019-05-28 11:45:00,2019-05-28 14:17:00,AVE,47.3,Turista,Promo
2019-05-28 12:18:00,2019-05-28 14:56:00,ALVIA,,Turista,Promo
2019-05-28 12:40:00,2019-05-28 15:23:00,AVE,47.3,Turista,Promo
2019-05-28 13:40:00,2019-05-28 16:10:00,AVE,47.3,Turista,Promo
2019-05-28 14:45:00,2019-05-28 17:15:00,AVE,47.3,Turista,Promo
2019-05-28 14:58:00,2019-05-28 17:50:00,ALVIA,47.05,Turista,Promo
2019-05-28 15:45:00,2019-05-28 18:15:00,AVE,69.4,Preferente,Promo
2019-05-28 16:15:00,2019-05-28 18:54:00,AVE,53.4,Turista,Promo
2019-05-28 16:45:00,2019-05-28 19:17:00,AVE,76.3,Turista,Flexible
2019-05-28 17:45:00,2019-05-28 20:17:00,AVE,60.3,Turista,Promo
2019-05-28 18:45:00,2019-05-28 21:17:00,AVE,60.3,Turista,Promo
2019-05-28 19:19:00,2019-05-28 21:59:00,INTERCITY,62.2,Turista,Flexible
2019-05-28 19:45:00,2019-05-28 22:17:00,AVE,47.3,Turista,Promo
2019-05-28 20:36:00,2019-05-28 23:14:00,ALVIA,67.2,Turista,Flexible
2019-05-28 21:00:00,2019-05-28 23:52:00,AV City,38.55,Turista,Promo
2019-05-26 07:00:00,2019-05-26 10:02:00,AV City,,Turista con enlace,Flexible
2019-05-26 08:45:00,2019-05-26 21:10:00,MD,52.5,Turista con enlace,Flexible
2019-05-26 09:50:00,2019-05-26 12:36:00,ALVIA,,Turista,Flexible
2019-05-26 10:45:00,2019-05-26 13:17:00,AVE,,Turista,Flexible
2019-05-26 11:45:00,2019-05-26 14:17:00,AVE,76.3,Turista,Flexible
2019-05-26 12:18:00,2019-05-26 14:56:00,ALVIA,,Turista,Flexible
2019-05-26 12:40:00,2019-05-26 15:23:00,AVE,,Turista,Flexible
2019-05-26 13:40:00,2019-05-26 16:10:00,AVE,,Turista,Flexible
2019-05-26 14:45:00,2019-05-26 17:15:00,AVE,76.3,Turista,Flexible
2019-05-26 14:58:00,2019-05-26 17:50:00,ALVIA,,Turista,Flexible
2019-05-26 15:45:00,2019-05-26 18:15:00,AVE,,Turista,Flexible
2019-05-26 16:15:00,2019-05-26 18:54:00,AVE,,Turista,Flexible
2019-05-26 16:45:00,2019-05-26 19:17:00,AVE,76.3,Turista,Flexible
2019-05-26 17:45:00,2019-05-26 20:17:00,AVE,,Turista,Flexible
2019-05-26 18:45:00,2019-05-26 21:17:00,AVE,76.3,Turista,Flexible
2019-05-26 19:15:00,2019-05-26 21:36:00,AVE,69.4,Preferente,Promo
2019-05-26 19:19:00,2019-05-26 21:59:00,INTERCITY,,Turista Plus,Promo
2019-05-26 19:45:00,2019-05-26 22:17:00,AVE,72.3,Turista Plus,Promo
2019-05-26 20:15:00,2019-05-26 22:36:00,AVE,69.4,Preferente,Promo
2019-05-26 20:36:00,2019-05-26 23:14:00,ALVIA,,Turista Plus,Flexible
2019-05-26 21:00:00,2019-05-26 23:52:00,AV City,74.6,Turista Plus,Flexible
2019-05-25 07:00:00,2019-05-25 10:02:00,AV City,49.15,Turista,Promo
2019-05-25 07:40:00,2019-05-25 10:05:00,AVE,60.3,Turista,Promo
2019-05-25 08:45:00,2019-05-25 21:10:00,MD,52.5,Turista con enlace,Flexible
2019-05-25 09:40:00,2019-05-25 12:23:00,AVE,61.45,Preferente,Promo
2019-05-25 09:50:00,2019-05-25 12:36:00,ALVIA,87.4,Preferente,Flexible
2019-05-25 10:45:00,2019-05-25 13:17:00,AVE,60.3,Turista,Promo
2019-05-25 11:45:00,2019-05-25 14:17:00,AVE,60.3,Turista,Promo
2019-05-25 12:18:00,2019-05-25 14:56:00,ALVIA,,Turista,Promo
2019-05-25 13:40:00,2019-05-25 16:10:00,AVE,60.3,Turista,Promo
2019-05-25 14:58:00,2019-05-25 17:50:00,ALVIA,,Turista,Promo
2019-05-25 15:45:00,2019-05-25 18:15:00,AVE,60.3,Turista,Promo
2019-05-25 16:45:00,2019-05-25 19:17:00,AVE,60.3,Turista,Promo
2019-05-25 17:45:00,2019-05-25 20:17:00,AVE,60.3,Turista,Promo
2019-05-25 18:45:00,2019-05-25 21:17:00,AVE,76.3,Turista,Flexible
