departure date,arrival date,train type,price,train class,fare
2019-04-28 10:40:00,2019-04-28 12:27:00,AVE,73.1,Turista,Flexible
2019-04-28 06:38:00,2019-04-28 13:37:00,REGIONAL,28.35,Turista,Adulto ida
2019-04-28 08:00:00,2019-04-28 09:53:00,AVE,66.55,Preferente,Promo
2019-04-28 09:50:00,2019-04-28 16:58:00,REGIONAL,28.35,Turista,Adulto ida
2019-04-28 12:40:00,2019-04-28 14:20:00,AVE,51.15,Turista,Promo
2019-04-28 14:10:00,2019-04-28 15:48:00,AVE,45.3,Turista,Promo
2019-04-28 14:50:00,2019-04-28 22:17:00,REGIONAL,28.35,Turista,Adulto ida
2019-04-28 15:10:00,2019-04-28 17:03:00,AVE,57.75,Turista,Promo
2019-04-28 16:15:00,2019-04-28 17:55:00,AVE,51.15,Turista,Promo
2019-04-28 17:10:00,2019-04-28 18:50:00,AVE,66.55,Preferente,Promo
2019-04-28 17:30:00,2019-04-28 23:58:00,MD-LD,32.4,Turista con enlace,Promo +
2019-04-28 18:10:00,2019-04-28 19:57:00,AVE,46.8,Preferente,Promo
2019-04-28 18:35:00,2019-04-28 20:21:00,AVE,51.15,Turista,Promo
2019-04-28 19:15:00,2019-04-28 21:01:00,AVE,45.3,Turista,Promo
2019-04-28 20:15:00,2019-04-28 21:55:00,AVE,51.15,Turista,Promo
2019-04-28 21:05:00,2019-04-28 23:32:00,INTERCITY,55.4,Turista,Flexible
2019-04-27 06:38:00,2019-04-27 13:37:00,REGIONAL,28.35,Turista,Adulto ida
2019-04-27 08:00:00,2019-04-27 09:53:00,AVE,73.1,Turista,Flexible
2019-04-27 08:10:00,2019-04-27 12:22:00,INTERCITY,36.05,Turista Plus,Promo
2019-04-27 09:00:00,2019-04-27 11:33:00,ALVIA,71.0,Turista,Flexible
2019-04-27 09:40:00,2019-04-27 11:20:00,AVE,73.1,Turista,Flexible
2019-04-27 10:40:00,2019-04-27 12:27:00,AVE,58.95,Preferente,Promo
2019-04-27 12:40:00,2019-04-27 14:20:00,AVE,45.3,Turista,Promo
2019-04-27 14:10:00,2019-04-27 15:48:00,AVE,39.45,Turista,Promo
2019-04-27 14:50:00,2019-04-27 22:17:00,REGIONAL,28.35,Turista,Adulto ida
2019-04-27 15:10:00,2019-04-27 17:03:00,AVE,51.15,Turista,Promo
2019-04-27 17:10:00,2019-04-27 18:50:00,AVE,51.15,Turista,Promo
2019-04-27 19:15:00,2019-04-27 21:01:00,AVE,33.65,Turista,Promo
2019-04-27 20:15:00,2019-04-27 21:55:00,AVE,33.65,Turista,Promo
